01, B01, 5, 2.50, 0.00, 2.50, na, 10/04/2025 09:23:14
05, S02, 11, 5.10, 0.61, 4.49, na, 11/04/2025 11:15:02
12, B08, 15, B13, 6, 5.90, 0.00, 5.90, na, 15/04/2025 13:44:09
16, B17, 5, 2.50, 0.30, 2.20, 2, 21/04/2025 15:22:55
M008, B04, 100, 40.70, 4.88, 35.82, na, 31/05/2025 00:06:21
M008, S03, 30, 9.70, 1.16, 8.54, na, 31/05/2025 00:08:17
M009, B04, 10, 4.70, 0.56, 4.14, na, 31/05/2025 00:09:12
M010, B04, 10, 4.70, 0.56, 4.14, na, 31/05/2025 00:12:48
M011, B04, 1, 0.50, 0.06, 0.44, na, 31/05/2025 00:20:09
M012, B04, 1, 0.50, 0.06, 0.44, na, 31/05/2025 00:25:01
M013, B04, 1, 0.50, 0.06, 0.44, na, 31/05/2025 00:28:29
M014, B04, 1, 0.50, 0.05, 0.45, na, 31/05/2025 00:30:37
M008, S01, 1, 0.75, 0.09, 0.66, na, 31/05/2025 01:06:58
